NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT02667496,Safety Study of Sargramostim in Treating Patients With Mild Cognitive Impairment Due to Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02667496,WITHDRAWN,Dementia Alzheimer's Type,DRUG: Sargramostim GZ402664|DRUG: Placebo|DRUG: Florbetapir F18,Sanofi,National Institute on Aging (NIA),INTERVENTIONAL
NCT01266525,Effect of Different Doses of SAR110894 on Cognition in Patients With Mild to Moderate Alzheimer's Disease on Donepezil,https://clinicaltrials.gov/study/NCT01266525,COMPLETED,Dementia Alzheimer's Type,DRUG: SAR110894|DRUG: placebo (for SAR110894)|DRUG: Donepezil,Sanofi,,INTERVENTIONAL
NCT07251023,Efficacy and Safety of DMB-I (INN: Latrepirdine) in Patients With Alzheimer Type Dementia,https://clinicaltrials.gov/study/NCT07251023,RECRUITING,Alzheimer Type Dementia,DRUG: DMB-I (INN: Latrepirdine)|DRUG: Memantine Hydrochloride 20 MG|DRUG: Placebo,Bigespas LTD,,INTERVENTIONAL
NCT01245530,An Efficacy and Safety Study of INM-176 for the Treatment of Patients With Alzheimer Type Dementia,https://clinicaltrials.gov/study/NCT01245530,COMPLETED,Alzheimer Type Dementia,DRUG: Aricept|DRUG: INM-176,Whanin Pharmaceutical Company,,INTERVENTIONAL
NCT03928405,Effect of Virtual Reality on Balance and Gait Speed With Alzheimer's Dementia,https://clinicaltrials.gov/study/NCT03928405,COMPLETED,Alzheimer's Dementia,OTHER: Exercises with Nintendo Wii virtual reality device,Kırıkkale University,,INTERVENTIONAL
NCT02434666,Long Term Extension Safety Study in Patients With Dementia of the Alzheimer's Type Who Completed Study CPC-001-07,https://clinicaltrials.gov/study/NCT02434666,COMPLETED,Dementia of the Alzheimer's Type,DRUG: CPC-201,"Chase Pharmaceuticals Corporation, an affiliate of Allergan plc",,INTERVENTIONAL
NCT06898424,Impact of Ketoflex 12/3 Diet on Early-to-Mid Stage Alzheimer's Progression,https://clinicaltrials.gov/study/NCT06898424,COMPLETED,Alzheimer Type Dementia|Alzheimer&#39;s Disease (AD),BEHAVIORAL: Ketoflex 12/3 Diet,"Prof. Lutfu Hanoglu, MD",,INTERVENTIONAL
NCT06534723,Phase 3 Clinical Trial of Wujia Yizhi Granules in the Treatment of Mild-to-moderate Alzheimer's Dementia (Syndrome of Deficiency of Spleen and Kidney),https://clinicaltrials.gov/study/NCT06534723,RECRUITING,Alzheimer's Dementia,DRUG: Wujia Yizhi granules|DRUG: Placebo,"Sichuan Jishengtang Pharmaceutical Co., Ltd.",,INTERVENTIONAL
NCT02804789,European Prevention of Alzheimer's Dementia (EPAD) Longitudinal Cohort Study (LCS),https://clinicaltrials.gov/study/NCT02804789,TERMINATED,Alzheimer's Dementia,,University of Edinburgh,Innovative Medicines Initiative,OBSERVATIONAL
NCT06396377,Interest of the Reborn® Doll as a TO in the Care of Residents With Alzheimer's Disease or a Related Disorder,https://clinicaltrials.gov/study/NCT06396377,COMPLETED,Dementia Alzheimers,DEVICE: Reborn doll (Therapeutic object - OT),"University Hospital, Clermont-Ferrand",,INTERVENTIONAL
NCT06047340,Feasibility Study of Game Technology in the Early Diagnosis of Mild Cognitive Impairment and Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06047340,UNKNOWN,Dementia Alzheimers,"DEVICE: G:DATA, dementia screen videogame",Ascentys Ltd,,INTERVENTIONAL
NCT03840759,Short-term Effects of an Inpatient Geriatric Consultation Team on Geriatric Syndrome Patients,https://clinicaltrials.gov/study/NCT03840759,COMPLETED,Depression|Senile Dementia,OTHER: inpatient geriatric consultation team,Chang Gung Memorial Hospital,,INTERVENTIONAL
NCT00322153,A Study of the Safety and Efficacy of Memantine in Moderate to Severe Alzheimer's Disease,https://clinicaltrials.gov/study/NCT00322153,COMPLETED,Dementia of the Alzheimer's Type,DRUG: memantine ER|DRUG: Placebo,Forest Laboratories,,INTERVENTIONAL
NCT01585272,Tolerability of Rivastigmine Before and After Switching From Oral Formulation to Transdermal Patch in Alzheimer's Dementia,https://clinicaltrials.gov/study/NCT01585272,COMPLETED,Alzheimer's Dementia,DRUG: ENA713,Novartis Pharmaceuticals,,INTERVENTIONAL
NCT05187819,Blood-based Biomarkers for Diagnosis of Alzheimer's,https://clinicaltrials.gov/study/NCT05187819,RECRUITING,Dementia Alzheimers,DIAGNOSTIC_TEST: predictive value of a blood test,Helse Stavanger HF,Sahlgrenska University Hospital,INTERVENTIONAL
NCT01297218,The Safety and The Efficacy Evaluation of NEUROSTEM®-AD in Patients With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01297218,COMPLETED,Dementia of the Alzheimer's Type,BIOLOGICAL: Human Umbilical Cord Blood Derived-Mesenchymal Stem Cells,Medipost Co Ltd.,,INTERVENTIONAL
NCT03597360,Low Dose Ionizing Radiation Using CT Scans as a Potential Therapy for Alzheimer's Dementia: A Pilot Study,https://clinicaltrials.gov/study/NCT03597360,COMPLETED,Dementia Alzheimers,RADIATION: CT scan,Baycrest,,INTERVENTIONAL
NCT06072014,ImGTS for Patients With Behavioral and Psychological Symptoms of Dementia (Phase 2),https://clinicaltrials.gov/study/NCT06072014,UNKNOWN,Dementia Alzheimers,OTHER: Virtual reality,Augmented eXperience E-health Laboratory,,INTERVENTIONAL
NCT04413344,Repurposing Bromocriptine for Abeta Metabolism in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT04413344,COMPLETED,Familial Alzheimer Disease (FAD)|PSEN1 Mutation,DRUG: Bromocriptine Mesilate|DRUG: Placebos,Kyoto University,"Mie University|Osaka University|Tokushima University|Tokyo Metropolitan Institute for Geriatrics and Gerontology|Asakayama Hospital|Kawasaki Medical School Hospital|Nagoya City University Hospital|Time Therapeutics, Inc.|Towa Pharmaceutical Co.,Ltd.",INTERVENTIONAL
NCT06445894,Accelerated Intermittent Theta-burst Stimulation to Modify Cognitive Function and Balance in Dementia and Memory Loss,https://clinicaltrials.gov/study/NCT06445894,NOT_YET_RECRUITING,Dementia Alzheimers,DEVICE: Active Repetitive Transcranial Magnetic Stimulation|DEVICE: Sham Repetitive Transcranial Magnetic Stimulation (rTMS),McMaster University,,INTERVENTIONAL
NCT01409564,Cilostazol Augmentation Study in Dementia,https://clinicaltrials.gov/study/NCT01409564,COMPLETED,Alzheimer's Dementia,DRUG: Cilostazol|DRUG: Placebo,Seoul National University Hospital,Korea OIAA,INTERVENTIONAL
NCT05265182,ImGTS for Patients With Behavioral and Psychological Symptoms of Dementia,https://clinicaltrials.gov/study/NCT05265182,COMPLETED,Dementia Alzheimers,PROCEDURE: virtual reality,Augmented eXperience E-health Laboratory,,INTERVENTIONAL
NCT05827276,Life Story Questionnaire and Physical Therapy Participation,https://clinicaltrials.gov/study/NCT05827276,UNKNOWN,Dementia Alzheimers,OTHER: Life story questionnaire,Texas Tech University Health Sciences Center,Texas Tech University,INTERVENTIONAL
NCT05606445,Surface EMG to Measure Paratonia in Dementia,https://clinicaltrials.gov/study/NCT05606445,UNKNOWN,Dementia Alzheimers,BEHAVIORAL: Elbow movement,University Medical Center Groningen,Hanzehogeschool Groningen,OBSERVATIONAL
NCT01195389,Safety and Efficacy Study of Magnetic Fields to Treat Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01195389,UNKNOWN,Alzheimer's Dementia,DEVICE: Resonator,"pico-tesla Magnetic Therapies, LLC",,INTERVENTIONAL
NCT04645017,Assessing an Intergenerational Music Program Delivered by Adolescents to Older Adults With Declining Cognition,https://clinicaltrials.gov/study/NCT04645017,COMPLETED,Dementia Alzheimers,BEHAVIORAL: Intergenerational Music Program,University of Pittsburgh,Carnegie Mellon University,INTERVENTIONAL
NCT06495957,Electroacupuncture for the Treatment of Agitated Symptoms of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06495957,NOT_YET_RECRUITING,Agitation Associated With Alzheimer's Dementia|Alzheimer's Dementia,OTHER: Electroacupuncture group|OTHER: Micro-acupuncture group,Guang'anmen Hospital of China Academy of Chinese Medical Sciences,,INTERVENTIONAL
NCT04462029,A Study to Compare the Pharmacokinetics of BR4002 and BR4002-1 in Healthy Volunteers,https://clinicaltrials.gov/study/NCT04462029,COMPLETED,Dementia Alzheimers,DRUG: BR4002|DRUG: BR4002-1,"Boryung Pharmaceutical Co., Ltd",,INTERVENTIONAL
NCT03943641,Dementia Risk Prediction Model: Development and Validation,https://clinicaltrials.gov/study/NCT03943641,COMPLETED,Dementia Alzheimers,OTHER: This is not an intervention study,University of Edinburgh,Keele University,OBSERVATIONAL
NCT07212062,The Purpose of This Study is to Evaluate the Safety and Tolerability of X/T+X-EC in Participants With Alzheimer's Disease Who Are Currently Treated With Lecanemab.,https://clinicaltrials.gov/study/NCT07212062,NOT_YET_RECRUITING,Alzheimers Disease,DRUG: X/T + X-EC|DRUG: Placebo|DRUG: Lecanemab 10 mg/kg,Neurology Office of South Florida,Bristol-Myers Squibb,INTERVENTIONAL
NCT07058129,Deep Cervical Lymphatic Venous Anastomosis in the Treatment of Alzheimer's Disease (CLEAN-AD Registry),https://clinicaltrials.gov/study/NCT07058129,NOT_YET_RECRUITING,Alzheimers Disease,PROCEDURE: Deep cervical lymphatic venous anastomosis,Beijing Tiantan Hospital,,OBSERVATIONAL
